epoch 0  avg_loss=5.4527
epoch 1  avg_loss=5.3918
epoch 2  avg_loss=5.3215
epoch 3  avg_loss=5.2232
epoch 4  avg_loss=5.1318
epoch 5  avg_loss=5.0358
epoch 6  avg_loss=4.9275
epoch 7  avg_loss=4.8059
epoch 8  avg_loss=4.6717
epoch 9  avg_loss=4.5359
epoch 10  avg_loss=4.4015
epoch 11  avg_loss=4.2756
epoch 12  avg_loss=4.1588
epoch 13  avg_loss=4.0525
epoch 14  avg_loss=3.9589
epoch 15  avg_loss=3.8746
epoch 16  avg_loss=3.7991
epoch 17  avg_loss=3.7322
epoch 18  avg_loss=3.6722
epoch 19  avg_loss=3.6171
epoch 20  avg_loss=3.5700
epoch 21  avg_loss=3.5268
epoch 22  avg_loss=3.4875
epoch 23  avg_loss=3.4507
epoch 24  avg_loss=3.4182
epoch 25  avg_loss=3.3874
epoch 26  avg_loss=3.3601
epoch 27  avg_loss=3.3355
epoch 28  avg_loss=3.3114
epoch 29  avg_loss=3.2895
epoch 30  avg_loss=3.2693
epoch 31  avg_loss=3.2526
epoch 32  avg_loss=3.2356
epoch 33  avg_loss=3.2187
epoch 34  avg_loss=3.2041
epoch 35  avg_loss=3.1899
epoch 36  avg_loss=3.1757
epoch 37  avg_loss=3.1645
epoch 38  avg_loss=3.1524
epoch 39  avg_loss=3.1404
epoch 40  avg_loss=3.1299
epoch 41  avg_loss=3.1195
epoch 42  avg_loss=3.1093
epoch 43  avg_loss=3.1002
epoch 44  avg_loss=3.0927
epoch 45  avg_loss=3.0835
epoch 46  avg_loss=3.0761
epoch 47  avg_loss=3.0684
epoch 48  avg_loss=3.0613
epoch 49  avg_loss=3.0537
