Resumed from checkpoints/latest.pt at epoch 3
epoch 4  avg_loss=5.1392
epoch 5  avg_loss=5.0358
epoch 6  avg_loss=4.9201
epoch 7  avg_loss=4.7916
epoch 8  avg_loss=4.6572
epoch 9  avg_loss=4.5218
epoch 10  avg_loss=4.3880
epoch 11  avg_loss=4.2618
epoch 12  avg_loss=4.1403
epoch 13  avg_loss=4.0356
epoch 14  avg_loss=3.9420
epoch 15  avg_loss=3.8574
epoch 16  avg_loss=3.7808
epoch 17  avg_loss=3.7146
epoch 18  avg_loss=3.6551
epoch 19  avg_loss=3.5993
epoch 20  avg_loss=3.5505
epoch 21  avg_loss=3.5062
epoch 22  avg_loss=3.4683
epoch 23  avg_loss=3.4304
epoch 24  avg_loss=3.3973
epoch 25  avg_loss=3.3648
epoch 26  avg_loss=3.3398
epoch 27  avg_loss=3.3123
epoch 28  avg_loss=3.2897
epoch 29  avg_loss=3.2681
epoch 30  avg_loss=3.2486
epoch 31  avg_loss=3.2291
epoch 32  avg_loss=3.2116
epoch 33  avg_loss=3.1960
epoch 34  avg_loss=3.1811
epoch 35  avg_loss=3.1673
epoch 36  avg_loss=3.1548
epoch 37  avg_loss=3.1420
epoch 38  avg_loss=3.1296
epoch 39  avg_loss=3.1198
epoch 40  avg_loss=3.1082
epoch 41  avg_loss=3.0992
epoch 42  avg_loss=3.0887
epoch 43  avg_loss=3.0808
epoch 44  avg_loss=3.0729
epoch 45  avg_loss=3.0646
epoch 46  avg_loss=3.0569
epoch 47  avg_loss=3.0489
epoch 48  avg_loss=3.0434
epoch 49  avg_loss=3.0349
epoch 50  avg_loss=3.0291
epoch 51  avg_loss=3.0220
epoch 52  avg_loss=3.0163
epoch 53  avg_loss=3.0108
epoch 54  avg_loss=3.0056
epoch 55  avg_loss=2.9995
epoch 56  avg_loss=2.9957
epoch 57  avg_loss=2.9902
epoch 58  avg_loss=2.9852
epoch 59  avg_loss=2.9809
epoch 60  avg_loss=2.9757
epoch 61  avg_loss=2.9722
epoch 62  avg_loss=2.9677
epoch 63  avg_loss=2.9632
epoch 64  avg_loss=2.9597
epoch 65  avg_loss=2.9551
epoch 66  avg_loss=2.9526
epoch 67  avg_loss=2.9482
epoch 68  avg_loss=2.9447
epoch 69  avg_loss=2.9410
epoch 70  avg_loss=2.9381
epoch 71  avg_loss=2.9346
epoch 72  avg_loss=2.9315
epoch 73  avg_loss=2.9288
epoch 74  avg_loss=2.9254
epoch 75  avg_loss=2.9228
epoch 76  avg_loss=2.9199
epoch 77  avg_loss=2.9171
epoch 78  avg_loss=2.9141
epoch 79  avg_loss=2.9115
epoch 80  avg_loss=2.9090
epoch 81  avg_loss=2.9065
epoch 82  avg_loss=2.9042
epoch 83  avg_loss=2.9020
epoch 84  avg_loss=2.8991
epoch 85  avg_loss=2.8970
epoch 86  avg_loss=2.8945
epoch 87  avg_loss=2.8917
epoch 88  avg_loss=2.8895
epoch 89  avg_loss=2.8874
epoch 90  avg_loss=2.8859
epoch 91  avg_loss=2.8836
epoch 92  avg_loss=2.8819
epoch 93  avg_loss=2.8799
epoch 94  avg_loss=2.8776
epoch 95  avg_loss=2.8756
epoch 96  avg_loss=2.8741
epoch 97  avg_loss=2.8716
epoch 98  avg_loss=2.8704
epoch 99  avg_loss=2.8692
